horsepower,mpg,cylinders,displacement,weight,acceleration,model year,origin,car name
53.0,33.0,4,91.0,1795,17.4,76,3.0,honda civic
104.26701570680628,20.0,6,225.0,3651,17.7,76,1.0,dodge aspen se
78.0,18.0,6,250.0,3574,21.0,76,1.0,ford granada ghia
110.0,18.5,6,250.0,3645,16.2,76,1.0,pontiac ventura sj
95.0,17.5,6,258.0,3193,17.8,76,1.0,amc pacer d/l
71.0,29.5,4,97.0,1825,12.2,76,2.0,volkswagen rabbit
70.0,32.0,4,85.0,1990,17.0,76,3.0,datsun b-210
75.0,28.0,4,97.0,2155,16.4,76,3.0,toyota corolla
72.0,26.5,4,140.0,2565,13.6,76,1.0,ford pinto
102.0,20.0,4,130.0,3150,15.7,76,2.0,volvo 245
150.0,13.0,8,318.0,3940,13.2,76,1.0,plymouth volare premier v8
88.0,19.0,4,120.0,3270,21.9,76,1.0,peugeot 504
108.0,19.0,6,156.0,2930,15.5,76,3.0,toyota mark ii
120.0,16.5,6,168.0,3820,16.7,76,2.0,mercedes-benz 280s
180.0,16.5,8,350.0,4380,12.1,76,1.0,cadillac seville
145.0,13.0,8,350.0,4055,12.0,76,1.0,chevy c10
130.0,13.0,8,302.0,3870,15.0,76,1.0,ford f108
150.0,13.0,8,318.0,3755,14.0,76,1.0,dodge d100
68.0,31.5,4,98.0,2045,18.5,77,3.0,honda accord cvcc
80.0,30.0,4,111.0,2155,14.8,77,1.0,buick opel isuzu deluxe
58.0,36.0,4,79.0,1825,18.6,77,2.0,renault 5 gtl
96.0,25.5,4,122.0,2300,15.5,77,1.0,plymouth arrow gs
70.0,33.5,4,85.0,1945,16.8,77,3.0,datsun f-10 hatchback
145.0,17.5,8,305.0,3880,12.5,77,1.0,chevrolet caprice classic
104.26701570680628,17.0,8,260.0,4060,19.0,77,1.0,oldsmobile cutlass supreme
145.0,15.5,8,318.0,4140,13.7,77,1.0,dodge monaco brougham
130.0,15.0,8,302.0,4295,14.9,77,1.0,mercury cougar brougham
110.0,17.5,6,250.0,3520,16.4,77,1.0,chevrolet concours
105.0,20.5,6,231.0,3425,16.9,77,1.0,buick skylark
100.0,19.0,6,225.0,3630,17.7,77,1.0,plymouth volare custom
98.0,18.5,6,250.0,3525,19.0,77,1.0,ford granada
180.0,16.0,8,400.0,4220,11.1,77,1.0,pontiac grand prix lj
170.0,15.5,8,350.0,4165,11.4,77,1.0,chevrolet monte carlo landau
190.0,15.5,8,400.0,4325,12.2,77,1.0,chrysler cordoba
149.0,16.0,8,351.0,4335,14.5,77,1.0,ford thunderbird
78.0,29.0,4,97.0,1940,14.5,77,2.0,volkswagen rabbit custom
88.0,24.5,4,151.0,2740,16.0,77,1.0,pontiac sunbird coupe
75.0,26.0,4,97.0,2265,18.2,77,3.0,toyota corolla liftback
89.0,25.5,4,140.0,2755,15.8,77,1.0,ford mustang ii 2+2
63.0,30.5,4,98.0,2051,17.0,77,1.0,chevrolet chevette
83.0,33.5,4,98.0,2075,15.9,77,1.0,dodge colt m/m
67.0,30.0,4,97.0,1985,16.4,77,3.0,subaru dl
78.0,30.5,4,97.0,2190,14.1,77,2.0,volkswagen dasher
97.0,22.0,6,146.0,2815,14.5,77,1.0,datsun 810
110.0,21.5,4,121.0,2600,12.8,77,2.0,bmw 320i
110.0,21.5,3,80.0,2720,13.5,77,3.0,mazda rx-4
48.0,43.1,4,90.0,1985,21.5,78,2.0,volkswagen rabbit custom diesel
66.0,36.1,4,98.0,1800,14.4,78,1.0,ford fiesta
52.0,32.8,4,78.0,1985,19.4,78,3.0,mazda glc deluxe
70.0,39.4,4,85.0,2070,18.6,78,3.0,datsun b210 gx
60.0,36.1,4,91.0,1800,16.4,78,3.0,honda civic cvcc
110.0,19.9,8,260.0,3365,15.5,78,1.0,oldsmobile cutlass salon brougham
140.0,19.4,8,318.0,3735,13.2,78,1.0,dodge diplomat
139.0,20.2,8,302.0,3570,12.8,78,1.0,mercury monarch ghia
105.0,19.2,6,231.0,3535,19.2,78,1.0,pontiac phoenix lj
95.0,20.5,6,200.0,3155,18.2,78,1.0,chevrolet malibu
85.0,20.2,6,200.0,2965,15.8,78,1.0,ford fairmont (auto)
88.0,25.1,4,140.0,2720,15.4,78,1.0,ford fairmont (man)
100.0,20.5,6,225.0,3430,17.2,78,1.0,plymouth volare
90.0,19.4,6,232.0,3210,17.2,78,1.0,amc concord
105.0,20.6,6,231.0,3380,15.8,78,1.0,buick century special
85.0,20.8,6,200.0,3070,16.7,78,1.0,mercury zephyr
110.0,18.6,6,225.0,3620,18.7,78,1.0,dodge aspen
120.0,18.1,6,258.0,3410,15.1,78,1.0,amc concord d/l
145.0,19.2,8,305.0,3425,13.2,78,1.0,chevrolet monte carlo landau
165.0,17.7,6,231.0,3445,13.4,78,1.0,buick regal sport coupe (turbo)
139.0,18.1,8,302.0,3205,11.2,78,1.0,ford futura
140.0,17.5,8,318.0,4080,13.7,78,1.0,dodge magnum xe
68.0,30.0,4,98.0,2155,16.5,78,1.0,chevrolet chevette
95.0,27.5,4,134.0,2560,14.2,78,3.0,toyota corona
97.0,27.2,4,119.0,2300,14.7,78,3.0,datsun 510
75.0,30.9,4,105.0,2230,14.5,78,1.0,dodge omni
95.0,21.1,4,134.0,2515,14.8,78,3.0,toyota celica gt liftback
105.0,23.2,4,156.0,2745,16.7,78,1.0,plymouth sapporo
85.0,23.8,4,151.0,2855,17.6,78,1.0,oldsmobile starfire sx
97.0,23.9,4,119.0,2405,14.9,78,3.0,datsun 200-sx
103.0,20.3,5,131.0,2830,15.9,78,2.0,audi 5000
125.0,17.0,6,163.0,3140,13.6,78,2.0,volvo 264gl
115.0,21.6,4,121.0,2795,15.7,78,2.0,saab 99gle
133.0,16.2,6,163.0,3410,15.8,78,2.0,peugeot 604sl
71.0,31.5,4,89.0,1990,14.9,78,2.0,volkswagen scirocco
68.0,29.5,4,98.0,2135,16.6,78,3.0,honda accord lx
115.0,21.5,6,231.0,3245,15.4,79,1.0,pontiac lemans v6
85.0,19.8,6,200.0,2990,18.2,79,1.0,mercury zephyr 6
88.0,22.3,4,140.0,2890,17.3,79,1.0,ford fairmont 4
90.0,20.2,6,232.0,3265,18.2,79,1.0,amc concord dl 6
110.0,20.6,6,225.0,3360,16.6,79,1.0,dodge aspen 6
130.0,17.0,8,305.0,3840,15.4,79,1.0,chevrolet caprice classic
129.0,17.6,8,302.0,3725,13.4,79,1.0,ford ltd landau
138.0,16.5,8,351.0,3955,13.2,79,1.0,mercury grand marquis
135.0,18.2,8,318.0,3830,15.2,79,1.0,dodge st. regis
155.0,16.9,8,350.0,4360,14.9,79,1.0,buick estate wagon (sw)
142.0,15.5,8,351.0,4054,14.3,79,1.0,ford country squire (sw)
125.0,19.2,8,267.0,3605,15.0,79,1.0,chevrolet malibu classic (sw)
150.0,18.5,8,360.0,3940,13.0,79,1.0,chrysler lebaron town @ country (sw)
71.0,31.9,4,89.0,1925,14.0,79,2.0,vw rabbit custom
65.0,34.1,4,86.0,1975,15.2,79,3.0,maxda glc deluxe
80.0,35.7,4,98.0,1915,14.4,79,1.0,dodge colt hatchback custom
80.0,27.4,4,121.0,2670,15.0,79,1.0,amc spirit dl
77.0,25.4,5,183.0,3530,20.1,79,2.0,mercedes benz 300d
125.0,23.0,8,350.0,3900,17.4,79,1.0,cadillac eldorado
71.0,27.2,4,141.0,3190,24.8,79,2.0,peugeot 504
90.0,23.9,8,260.0,3420,22.2,79,1.0,oldsmobile cutlass salon brougham
70.0,34.2,4,105.0,2200,13.2,79,1.0,plymouth horizon
70.0,34.5,4,105.0,2150,14.9,79,1.0,plymouth horizon tc3
65.0,31.8,4,85.0,2020,19.2,79,3.0,datsun 210
69.0,37.3,4,91.0,2130,14.7,79,2.0,fiat strada custom
90.0,28.4,4,151.0,2670,16.0,79,1.0,buick skylark limited
115.0,28.8,6,173.0,2595,11.3,79,1.0,chevrolet citation
115.0,26.8,6,173.0,2700,12.9,79,1.0,oldsmobile omega brougham
90.0,33.5,4,151.0,2556,13.2,79,1.0,pontiac phoenix
76.0,41.5,4,98.0,2144,14.7,80,2.0,vw rabbit
60.0,38.1,4,89.0,1968,18.8,80,3.0,toyota corolla tercel
70.0,32.1,4,98.0,2120,15.5,80,1.0,chevrolet chevette
65.0,37.2,4,86.0,2019,16.4,80,3.0,datsun 310
90.0,28.0,4,151.0,2678,16.5,80,1.0,chevrolet citation
88.0,26.4,4,140.0,2870,18.1,80,1.0,ford fairmont
90.0,24.3,4,151.0,3003,20.1,80,1.0,amc concord
90.0,19.1,6,225.0,3381,18.7,80,1.0,dodge aspen
78.0,34.3,4,97.0,2188,15.8,80,2.0,audi 4000
90.0,29.8,4,134.0,2711,15.5,80,3.0,toyota corona liftback
75.0,31.3,4,120.0,2542,17.5,80,3.0,mazda 626
92.0,37.0,4,119.0,2434,15.0,80,3.0,datsun 510 hatchback
75.0,32.2,4,108.0,2265,15.2,80,3.0,toyota corolla
65.0,46.6,4,86.0,2110,17.9,80,3.0,mazda glc
105.0,27.9,4,156.0,2800,14.4,80,1.0,dodge colt
65.0,40.8,4,85.0,2110,19.2,80,3.0,datsun 210
48.0,44.3,4,90.0,2085,21.7,80,2.0,vw rabbit c (diesel)
48.0,43.4,4,90.0,2335,23.7,80,2.0,vw dasher (diesel)
67.0,36.4,5,121.0,2950,19.9,80,2.0,audi 5000s (diesel)
67.0,30.0,4,146.0,3250,21.8,80,2.0,mercedes-benz 240d
67.0,44.6,4,91.0,1850,13.8,80,3.0,honda civic 1500 gl
104.26701570680628,40.9,4,85.0,1835,17.3,80,2.0,renault lecar deluxe
67.0,33.8,4,97.0,2145,18.0,80,3.0,subaru dl
62.0,29.8,4,89.0,1845,15.3,80,2.0,vokswagen rabbit
132.0,32.7,6,168.0,2910,11.4,80,3.0,datsun 280-zx
100.0,23.7,3,70.0,2420,12.5,80,3.0,mazda rx-7 gs
88.0,35.0,4,122.0,2500,15.1,80,2.0,triumph tr7 coupe
104.26701570680628,23.6,4,140.0,2905,14.3,80,1.0,ford mustang cobra
72.0,32.4,4,107.0,2290,17.0,80,3.0,honda accord
84.0,27.2,4,135.0,2490,15.7,81,1.0,plymouth reliant
84.0,26.6,4,151.0,2635,16.4,81,1.0,buick skylark
92.0,25.8,4,156.0,2620,14.4,81,1.0,dodge aries wagon (sw)
110.0,23.5,6,173.0,2725,12.6,81,1.0,chevrolet citation
84.0,30.0,4,135.0,2385,12.9,81,1.0,plymouth reliant
58.0,39.1,4,79.0,1755,16.9,81,3.0,toyota starlet
64.0,39.0,4,86.0,1875,16.4,81,1.0,plymouth champ
60.0,35.1,4,81.0,1760,16.1,81,3.0,honda civic 1300
67.0,32.3,4,97.0,2065,17.8,81,3.0,subaru
65.0,37.0,4,85.0,1975,19.4,81,3.0,datsun 210 mpg
62.0,37.7,4,89.0,2050,17.3,81,3.0,toyota tercel
68.0,34.1,4,91.0,1985,16.0,81,3.0,mazda glc 4
63.0,34.7,4,105.0,2215,14.9,81,1.0,plymouth horizon 4
65.0,34.4,4,98.0,2045,16.2,81,1.0,ford escort 4w
65.0,29.9,4,98.0,2380,20.7,81,1.0,ford escort 2h
74.0,33.0,4,105.0,2190,14.2,81,2.0,volkswagen jetta
104.26701570680628,34.5,4,100.0,2320,15.8,81,2.0,renault 18i
75.0,33.7,4,107.0,2210,14.4,81,3.0,honda prelude
75.0,32.4,4,108.0,2350,16.8,81,3.0,toyota corolla
100.0,32.9,4,119.0,2615,14.8,81,3.0,datsun 200sx
74.0,31.6,4,120.0,2635,18.3,81,3.0,mazda 626
80.0,28.1,4,141.0,3230,20.4,81,2.0,peugeot 505s turbo diesel
76.0,30.7,6,145.0,3160,19.6,81,2.0,volvo diesel
116.0,25.4,6,168.0,2900,12.6,81,3.0,toyota cressida
120.0,24.2,6,146.0,2930,13.8,81,3.0,datsun 810 maxima
110.0,22.4,6,231.0,3415,15.8,81,1.0,buick century
105.0,26.6,8,350.0,3725,19.0,81,1.0,oldsmobile cutlass ls
88.0,20.2,6,200.0,3060,17.1,81,1.0,ford granada gl
85.0,17.6,6,225.0,3465,16.6,81,1.0,chrysler lebaron salon
88.0,28.0,4,112.0,2605,19.6,82,1.0,chevrolet cavalier
88.0,27.0,4,112.0,2640,18.6,82,1.0,chevrolet cavalier wagon
88.0,34.0,4,112.0,2395,18.0,82,1.0,chevrolet cavalier 2-door
85.0,31.0,4,112.0,2575,16.2,82,1.0,pontiac j2000 se hatchback
84.0,29.0,4,135.0,2525,16.0,82,1.0,dodge aries se
90.0,27.0,4,151.0,2735,18.0,82,1.0,pontiac phoenix
92.0,24.0,4,140.0,2865,16.4,82,1.0,ford fairmont futura
104.26701570680628,23.0,4,151.0,3035,20.5,82,1.0,amc concord dl
74.0,36.0,4,105.0,1980,15.3,82,2.0,volkswagen rabbit l
68.0,37.0,4,91.0,2025,18.2,82,3.0,mazda glc custom l
68.0,31.0,4,91.0,1970,17.6,82,3.0,mazda glc custom
63.0,38.0,4,105.0,2125,14.7,82,1.0,plymouth horizon miser
70.0,36.0,4,98.0,2125,17.3,82,1.0,mercury lynx l
88.0,36.0,4,120.0,2160,14.5,82,3.0,nissan stanza xe
75.0,36.0,4,107.0,2205,14.5,82,3.0,honda accord
70.0,34.0,4,108.0,2245,16.9,82,3.0,toyota corolla
67.0,38.0,4,91.0,1965,15.0,82,3.0,honda civic
67.0,32.0,4,91.0,1965,15.7,82,3.0,honda civic (auto)
67.0,38.0,4,91.0,1995,16.2,82,3.0,datsun 310 gx
110.0,25.0,6,181.0,2945,16.4,82,1.0,buick century limited
85.0,38.0,6,262.0,3015,17.0,82,1.0,oldsmobile cutlass ciera (diesel)
92.0,26.0,4,156.0,2585,14.5,82,1.0,chrysler lebaron medallion
112.0,22.0,6,232.0,2835,14.7,82,1.0,ford granada l
96.0,32.0,4,144.0,2665,13.9,82,3.0,toyota celica gt
84.0,36.0,4,135.0,2370,13.0,82,1.0,dodge charger 2.2
90.0,27.0,4,151.0,2950,17.3,82,1.0,chevrolet camaro
86.0,27.0,4,140.0,2790,15.6,82,1.0,ford mustang gl
52.0,44.0,4,97.0,2130,24.6,82,2.0,vw pickup
84.0,32.0,4,135.0,2295,11.6,82,1.0,dodge rampage
79.0,28.0,4,120.0,2625,18.6,82,1.0,ford ranger
82.0,31.0,4,119.0,2720,19.4,82,1.0,chevy s-10
